"champ";"statut";"annee";"periode";"date du resultat";"ipe";pb;code13;code;code1;indication;annee;periode;dep23;nb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 10:38:31";="620003376";2;3400893318799;9331879;9331879;I000464;2023;03;268.8;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:31";="620003376";2;3400893318850;9331885;9331885;I000464;2023;03;537.59;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:31";="620003376";2;3400893318799;9331879;9331879;I000464;2023;04;268.8;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:31";="620003376";2;3400893318850;9331885;9331885;I000464;2023;04;537.59;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:31";="620003376";2;3400894388968;9438896;9438896;I000286;2023;04;194.58;3;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:31";="620003376";2;3400893318799;9331879;9331879;I000464;2023;05;268.8;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:31";="620003376";2;3400893318850;9331885;9331885;I000464;2023;05;537.59;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";2;3400891828306;9182830;9182830;I000398;2022;12;14600.3;26;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";2;3400891828535;9182853;9182853;I000398;2022;12;1123.12;4;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";2;3400891828306;9182830;9182830;I000398;2023;01;3930.849;7;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";1;3400894389798;9438979;9438979;CNIVO04;2023;03;2481.18;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";2;3400894000372;9400037;9400037;I000159;2023;04;1126.02;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";2;3400890005234;9000523;9000523;I000035;2023;05;455.967;2.9;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";2;3400894000372;9400037;9400037;I000159;2023;05;2252.04;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";2;3400890005234;9000523;9000523;I000035;2023;06;424.521;2.7;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";2;3400894000372;9400037;9400037;I000159;2023;06;1126.02;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";2;3400890005234;9000523;9000523;I000035;2023;07;872.625;5.55;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";2;3400894000372;9400037;9400037;I000159;2023;07;1126.02;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/28 15:45:11";="020004495";1;3400892717982;9271798;9271798;I000264;2023;06;446.687;5;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:29:48";="590782652";2;3400890006576;9000657;9000657;I000466;2023;06;4459.73;1;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:48";="590782652";2;3400890006576;9000657;9000657;I000466;2023;07;4608.24;1;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:48";="590782652";2;3400890023610;9002361;9002361;I000597;2023;07;754.503;3;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:48";="590782652";2;3400893951064;9395106;9395106;I000271;2023;07;5433.4;2;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 14:52:11";="020000261";2;3400894307365;9430736;9430736;I000594;2023;01;10421.44;16;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:11";="020000261";2;3400894307365;9430736;9430736;I000594;2023;02;10421.44;16;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:11";="020000261";2;3400894307365;9430736;9430736;I000594;2023;03;5210.72;8;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:11";="020000261";2;3400894307365;9430736;9430736;I000594;2023;04;5210.72;8;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:11";="020000261";2;3400894307365;9430736;9430736;I000594;2023;05;5210.72;8;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:11";="020000261";1;3400893475676;9347567;9347567;0045100;2023;06;280.78;1;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:11";="020000261";2;3400894307365;9430736;9430736;I000594;2023;06;2605.36;4;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:11";="020000261";2;3400894307365;9430736;9430736;I000594;2023;07;5210.72;8;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:14:49";="620100651";2;3400890023610;9002361;9002361;I000597;2023;01;641.962;2;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:49";="620100651";2;3400890023627;9002362;9002362;I000597;2023;01;802.76;1;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:49";="620100651";2;3400894405450;9440545;9440545;I000541;2023;04;3876.865;2;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:49";="620100651";2;3400894405511;9440551;9440551;I000541;2023;04;2090.604;4.333;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/30 08:36:35";="590780284";2;3400894388968;9438896;9438896;I000286;2023;05;259.55;4;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:35";="590780284";2;3400894388968;9438896;9438896;I000286;2023;07;259.55;4;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:43:37";="020000287";2;3400893951064;9395106;9395106;I000271;2023;07;7887.48;3;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:34:03";="590797353";1;3400890015189;9001518;9001518;I000367;2023;01;25.525;1;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:03";="590797353";1;3400890015189;9001518;9001518;I000367;2023;02;76.575;3;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:03";="590797353";1;3400893475966;9347596;9347596;I000398;2023;02;1123.1;2;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:03";="590797353";1;3400893476048;9347604;9347604;I000398;2023;02;4492.4;4;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:03";="590797353";1;3400893690086;9369008;9369008;I000256;2023;02;488.855;2;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:03";="590797353";1;3400894062356;9406235;9406235;I000249;2023;02;1984.82;2;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:03";="590797353";1;3400893475676;9347567;9347567;I000259;2023;03;280.775;1;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:03";="590797353";1;3400894388968;9438896;9438896;I000437;2023;03;648.876;10;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:03";="590797353";2;3400894405450;9440545;9440545;I000541;2023;04;6030.69;3;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:03";="590797353";2;3400894405450;9440545;9440545;I000541;2023;05;6030.69;3;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:03";="590797353";2;3400894405450;9440545;9440545;I000541;2023;06;12061.38;6;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:03";="590797353";2;3400893951064;9395106;9395106;I000271;2023;07;18404.099;7;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:03";="590797353";2;3400894405450;9440545;9440545;I000541;2023;07;12061.38;6;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:30:44";="590782421";2;3400892905259;9290525;9290525;I000382;2023;01;1414.98;3;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:44";="590782421";2;3400894153177;9415317;9415317;I000225;2023;01;74.592;3.69;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:44";="590782421";1;3400894405450;9440545;9440545;CDURV01;2023;01;6738.599;3;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:44";="590782421";2;3400893923269;9392326;9392326;I000423;2023;02;1222.14;2;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:44";="590782421";2;3400894153177;9415317;9415317;I000225;2023;02;80.859;4;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:44";="590782421";1;3400894405450;9440545;9440545;CDURV04;2023;02;12061.38;6;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:44";="590782421";2;3400893923269;9392326;9392326;I000169;2023;03;611.07;1;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:44";="590782421";2;3400893923269;9392326;9392326;I000423;2023;03;1222.14;2;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:44";="590782421";2;3400894351368;9435136;9435136;I000455;2023;04;5538.92;1;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 15:20:13";="590052056";1;3400892137377;9213737;9213737;I000104;2023;02;122.52;1;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:20:13";="590052056";1;3400894020592;9402059;9402059;I000287;2023;04;1161.07;1;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:20:13";="590052056";1;3400894197232;9419723;9419723;CPEMB03;2023;04;5294.09;2;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:20:13";="590052056";1;3400894197232;9419723;9419723;CPEMB04;2023;04;10588.18;4;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:20:13";="590052056";1;3400894197232;9419723;9419723;CPEMB03;2023;05;5294.09;2;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:20:13";="590052056";1;3400894197232;9419723;9419723;CPEMB03;2023;06;10588.18;4;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:20:13";="590052056";1;3400894197232;9419723;9419723;CPEMB04;2023;06;10588.18;4;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:20:13";="590052056";2;3400893951064;9395106;9395106;I000271;2023;07;10516.628;4;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:20:13";="590052056";1;3400894020592;9402059;9402059;I000287;2023;07;8127.49;7;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:20:13";="590052056";1;3400894197232;9419723;9419723;CPEMB03;2023;07;4964.102;2;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:20:13";="590052056";1;3400894197232;9419723;9419723;CPEMB04;2023;07;14892.306;6;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/31 10:38:47";="590781415";1;3400894312628;9431262;9431262;CATEZ02;2023;03;7073.426;2;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:47";="590781415";2;3400893318799;9331879;9331879;I000464;2023;04;274.067;1;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:47";="590781415";2;3400893318850;9331885;9331885;I000464;2023;04;548.197;1;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:47";="590781415";2;3400893913444;9391344;9391344;I000539;2023;04;8973.057;3;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:47";="590781415";2;3400894023036;9402303;9402303;I000285;2023;04;271.91;4;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:47";="590781415";1;3400894312628;9431262;9431262;CATEZ02;2023;04;3536.713;1;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:47";="590781415";2;3400893913444;9391344;9391344;I000539;2023;05;17946.114;6;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:47";="590781415";2;3400894023036;9402303;9402303;I000285;2023;05;267.835;4;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:47";="590781415";1;3400894312628;9431262;9431262;CATEZ02;2023;05;7070.192;2;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:47";="590781415";1;3400894389798;9438979;9438979;CNIVO04;2023;05;5060.208;2;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:47";="590781415";2;3400893318850;9331885;9331885;I000458;2023;06;548.202;1;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:47";="590781415";2;3400893913444;9391344;9391344;I000539;2023;06;8973.057;3;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:47";="590781415";1;3400894312628;9431262;9431262;CATEZ02;2023;06;3535.096;1;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:47";="590781415";2;3400893913444;9391344;9391344;I000539;2023;07;8973.057;3;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:47";="590781415";1;3400894312628;9431262;9431262;CATEZ02;2023;07;7068.866;2;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:47";="590781415";1;3400894389798;9438979;9438979;CNIVO04;2023;07;11385.517;4.5;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:39:50";="620103440";2;3400893913444;9391344;9391344;I000539;2023;04;8346.66;3;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:50";="620103440";2;3400893318799;9331879;9331879;I000464;2023;07;268.8;1;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:50";="620103440";2;3400893318850;9331885;9331885;I000464;2023;07;537.59;1;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:50";="620103440";2;3400893951064;9395106;9395106;I000271;2023;07;15774.96;6;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:50";="620103440";2;3400894023036;9402303;9402303;I000286;2023;07;189.9;3;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:50";="620103440";2;3400894405511;9440551;9440551;I000541;2023;07;6754.3;14;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 11:51:27";="590780193";2;3400894179832;9417983;9417983;I000371;2022;12;378.43;61;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:27";="590780193";2;3400890023610;9002361;9002361;I000050;2023;01;959.186;3;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:27";="590780193";2;3400890023610;9002361;9002361;I000596;2023;01;882.451;2.76;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:27";="590780193";2;3400893318799;9331879;9331879;I000458;2023;01;1874.238;7;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:27";="590780193";2;3400893318850;9331885;9331885;I000458;2023;01;1070.993;2;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:27";="590780193";2;3400893318850;9331885;9331885;I000464;2023;01;1606.489;3;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:27";="590780193";2;3400893318911;9331891;9331891;I000464;2023;01;107.101;1;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:27";="590780193";2;3400894179832;9417983;9417983;I000371;2023;01;2553.944;425;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:27";="590780193";2;3400894351368;9435136;9435136;I000455;2023;01;11034.559;2;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:27";="590780193";2;3400890023610;9002361;9002361;I000596;2023;02;2375.583;7.43;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:27";="590780193";2;3400893318799;9331879;9331879;I000458;2023;02;1606.49;6;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:27";="590780193";2;3400893318850;9331885;9331885;I000464;2023;02;535.496;1;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:27";="590780193";2;3400893318911;9331891;9331891;I000464;2023;02;428.405;4;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:27";="590780193";2;3400894179832;9417983;9417983;I000371;2023;02;1478.285;246;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:27";="590780193";2;3400890023610;9002361;9002361;I000596;2023;03;850.478;2.66;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:27";="590780193";1;3400891944600;9194460;9194460;I000596;2023;03;1137.307;3.95;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:27";="590780193";2;3400893318799;9331879;9331879;I000458;2023;03;803.245;3;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:27";="590780193";2;3400894179832;9417983;9417983;I000371;2023;03;1081.671;180;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:27";="590780193";1;3400891944600;9194460;9194460;I000596;2023;04;2029.877;7.05;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:27";="590780193";2;3400893318799;9331879;9331879;I000458;2023;04;1338.741;5;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:27";="590780193";2;3400893318850;9331885;9331885;I000458;2023;04;535.496;1;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:27";="590780193";2;3400893318850;9331885;9331885;I000464;2023;04;535.496;1;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:27";="590780193";2;3400893318911;9331891;9331891;I000458;2023;04;107.101;1;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:27";="590780193";2;3400893318911;9331891;9331891;I000464;2023;04;321.304;3;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:27";="590780193";2;3400893913444;9391344;9391344;I000539;2023;04;8314.056;3;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:27";="590780193";2;3400894023036;9402303;9402303;I000285;2023;04;693.6;11;2023.7;X590780193;31AUG23;11:45:29
