"champ";"statut";"annee";"periode";"date du resultat";"ipe";cret9;COUNT;PERCENT;pctcum;effcum;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:34";="800000036";0;405;100;100;405;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:25";="600100168";0;4825;100;100;4825;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:22";="020000022";0;592;100;100;592;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:15";="590782439";0;997;100;100;997;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:11";="590049565";0;158;100;100;158;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:39:01";="020000253";0;15870;99.981099981;99.981099981;15870;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:01";="020000253";1;3;0.0189000189;100;15873;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:38:13";="620003376";0;16407;99.987811567;99.987811567;16407;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:13";="620003376";1;2;0.0121884332;100;16409;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:06:27";="620101337";0;17632;99.632706108;99.632706108;17632;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:27";="620101337";1;65;0.3672938916;100;17697;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:47:15";="800000077";0;681;100;100;681;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:10:23";="590782645";0;344;100;100;344;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:44";="600100572";0;256;100;100;256;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:53";="020004495";0;2113;99.388523048;99.388523048;2113;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:53";="020004495";1;13;0.611476952;100;2126;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:52";="020000055";0;262;100;100;262;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:29:19";="590782652";0;8589;100;100;8589;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:49:03";="590780052";0;1299;100;100;1299;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:20:01";="600100648";0;3448;100;100;3448;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:45";="620000026";0;7210;100;100;7210;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:23:33";="590065223";0;1;100;100;1;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 14:21:38";="620003350";0;3692;99.972921744;99.972921744;3692;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:38";="620003350";1;1;0.0270782562;100;3693;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:37";="590000600";0;972;100;100;972;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:25:15";="620025346";0;9210;97.760322683;97.760322683;9210;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:15";="620025346";1;211;2.2396773166;100;9421;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:40:47";="590001749";0;3132;99.808795411;99.808795411;3132;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:47";="590001749";1;6;0.1912045889;100;3138;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:46:57";="590781670";0;1099;100;100;1099;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:51:18";="020000261";0;24048;99.817366761;99.817366761;24048;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:18";="020000261";1;44;0.1826332392;100;24092;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:14:19";="620100651";0;29506;99.699273526;99.699273526;29506;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:19";="620100651";1;89;0.3007264741;100;29595;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:40:37";="620027839";0;22138;100;100;22138;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/30 08:36:11";="590780284";0;16949;99.988201286;99.988201286;16949;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:11";="590780284";1;2;0.0117987139;100;16951;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:43:10";="020000287";0;5616;100;100;5616;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:33:22";="590797353";0;31318;99.955317248;99.955317248;31318;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:22";="590797353";1;14;0.0446827525;100;31332;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:30:06";="590782421";0;43563;99.995409159;99.995409159;43563;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:06";="590782421";1;2;0.0045908413;100;43565;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:12:14";="800000051";0;535;100;100;535;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 13:42:30";="800000135";0;190;100;100;190;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 14:11:49";="590782165";0;11891;100;100;11891;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:39:51";="620101360";0;15734;100;100;15734;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:56:21";="590781662";0;3428;100;100;3428;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 15:05:08";="590781621";0;4377;99.885896851;99.885896851;4377;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:05:08";="590781621";1;5;0.1141031492;100;4382;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:19:51";="590052056";0;9944;99.989944696;99.989944696;9944;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:51";="590052056";1;1;0.0100553042;100;9945;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 16:35:15";="590781795";0;867;100;100;867;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:18";="620100677";0;3252;99.969259145;99.969259145;3252;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:18";="620100677";1;1;0.0307408546;100;3253;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 10:38:08";="590781415";0;34436;99.901363504;99.901363504;34436;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:08";="590781415";1;34;0.0986364955;100;34470;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:39:17";="620103440";0;46841;100;100;46841;2023.7;X620103440;31AUG23;10:37:57
