"champ";"statut";"annee";"periode";"date du resultat";"ipe";cret8;COUNT;PERCENT;pctcum;effcum;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:38";="020000022";0;231;100;100;231;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:53";="590048476";0;1112;100;100;1112;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:37";="590780193";0;2455;100;100;2455;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:32";="590782652";0;821;100;100;821;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:46";="600100713";0;391;99.744897959;99.744897959;391;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:46";="600100713";1;1;0.2551020408;100;392;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:22:57";="600100721";0;284;99.649122807;99.649122807;284;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:57";="600100721";1;1;0.350877193;100;285;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:43";="800000028";0;258;100;100;258;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:35";="800000036";0;163;100;100;163;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:43";="800000069";0;253;100;100;253;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/26 10:01:51";="800000077";0;99;99;99;99;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:51";="800000077";1;1;1;100;100;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/28 15:59:44";="800000085";0;174;100;100;174;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/27 14:51:49";="800000093";0;231;100;100;231;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/22 10:53:42";="800000523";0;1384;100;100;1384;2022.11;X800000523;22DEC22;10:53:02
